pokemon list,Pokemon
Tyzavan 15 mg/kg/dose IV every 12 hours; Rifadin 600 mg IV once daily; Lantus (100-U) 10 Units SQ once daily; Tylenol 1 g IV every 6 hours; Feraligatr 400mg IV q12h; Heparin 5000 units SQ every 8 hours.,Feraligatr
"Diuril 250mg, administer IV once; Lovenox 40mg adminster SC daily; ariados 1mg PO daily; Aloprim 100mg administer by mouth once daily; Zofran 4 mg administered IV every 4 hours as needed for nausea;",ariados
"Simisage 0.5mg po daily, Xanax 1mg PO BID; Sublimaze 25mcg/hr IV; aspirin 325mg PO daily; FeroSul 325mg PO every other day",simisage
"Zyprexa 5 mg IM as needed; shellos 3mg IM once; Albumin 1 g/kg, adminsiter IV once; Xifaxan 550mg, 1 tablet by mouth twice daily; Elavil 25mg, administer by mouth once daily",shellos
"Rocephin 2g, administer IV once daily; thiamine 100mg, administer IV once daily, Marinol 5mg, administer by mouth twice daily; malamar 5mg PO QHS; AmBisome 5 mg/kg, administered IV once daily",malamar
Andexxa 400mg IV once; heparin 15units/kg/hr IV; Tyzavan 500mg PO q6h; sunkern 10mg IV once; Azactam 2000mg IV q8h; Bactrim 800/160 1 tab PO q12h,sunkern
Eliquis 5mg PO BID; Diprivan 20mcg/kg/min; Lopressor 25mg PO q6h; aspirin 81mg PO daily; Maxipime 2000mg IV q8h; buneary 10mg PO qpm,buneary
TNKase 22.5 mg administered as IV bolus; Labetalol 20 mg IV given over 1 minute; ambipom 5mg IV once; Aspirin 325 mg by mouth once daily; lipitor 40 mg by mouth once daily; Ativan 0.5 mg every 4 to 6 hours as needed for anxiety.,ambipom
Omnicef 300mg PO BID; Reyataz 400mg PO daily; lurantis 3mg PO daily; Miralax 17gm PO daily; Xylocaine 5% patch apply topically to affected area once daily; Cordarone 400mg PO TID,lurantis
sizlipede 1gm PO BID; Colace 100mg PO BID; Reyataz 400mg PO daily; Pepcid 20mg IV q12h; Omnicef 300mg PO BID; Theo-24 300mg PO BID,sizzlipede
"Mycobutin 300mg PO daily; Omnicef 300mg PO BID; loudred 1000mg IV once, Reyataz 400mg PO daily; Miralax 17gm PO daily; Xylocaine 5% patch apply topically to affected area once daily",loudred
Colace 100mg PO BID; ribombee 2mg PO q8h; Reyataz 400mg PO daily; Flomax 0.4mg PO daily; Rocephin 1000mg IV q24h; Theo-24 300mg PO BID,Ribombee
"Lacteted ringers 2000 ml, administer IV once; llycanroc 50mg PO bid; Mepron 1500mg, administer by mouth once daily; Pepcid 20 mg IV once; Norvir 200mg, administer by mouth twice daily",llycanroc
Zithromax 500mg PO daily; Levemir 10 units SQ QHS; Jantoven 5mg PO daily; mareanie 10mg po qday; Tyzavan 1000mg IV once,Mareanie
"Tracleer 62.5mg, administer by mouth twice daily;toxapex 100mg PO qhs; Abilify 10mg, administer by mouth once daily; heparin 12 units/kg/hour, administer IV as a contiuous infusion; Protonix 40 mg, administer IV daily",toxapex
"Tracleer 62.5mg, administer by mouth twice daily; Gengraf 5 mg/kg/day, administer by mouth in 2 divided doses; Vasostrict 0.04 units/min adminstered IV as a continuous infusion; melatonin 3 mg, take one tablet by mouth at bedtime; honedge 5mg PO daily",honedge
"Tracleer 62.5mg, administer by mouth twice daily; melatonin 3 mg, take one tablet by mouth at bedtime; Veletri 2 ng/kg/min, administer IV as a continuous infusion and titrate to highest tolerated dose; Adriamycin 60 mg/m2 IV daily; zebstrika 1000mg IV qweek",zebstrika
"Blitzle 10mg IV once; Tracleer 62.5mg, administer by mouth twice daily; Prevymis 480mg, adminsiter by mouth once daily; Pepcid 20 mg IV once; Lovenox 40 mg SQ once daily;",blitzle
"Vfend 300mg; administer IV every 12 hours; boldore 7.5mg PO qday; Zosyn 4.5 g IV every 6 hours; Tracleer 62.5mg, administer by mouth twice daily; Magnesium Sulfate 4 g IV over 15 minutes;",boldore
Wellbutrin 75mg PO q8h; Pepcid 20mg PO BID; Rexulti 1mg PO daily; gigalith 1mg SQ once; Maxipime 2000mg IV q12h; Tyzavan 1500mg IV q12h,gigalith
Prinivil 10mg PO daily; Vasostrict 0.04units/min; Wellbutrin 75mg PO q8h; and Zyvox 600mg IV BID; excadrill 1 application topically qday,excadrill
"Wellbutrin XR 150mg PO Q24H, Prinivil 20mg PO daily; Reglan 10mg PO Q8H; audino 1mg po q8h; Lantus 45 units SQ QHS",audino
Trintellix 10mg PO daily; swirlix 10mg IV q12h; Azactam 2000mg IV q8h; Tyzavan 1000mg IV q8h; Wellbutrin 100mg PO TID; Pepcid 20mg IV q12h,swirlix
"Wellbutrin 100mg, administer by mouth once daily; Nolvadex 20mg, adminsiter 1 tablet by mouth once daily; Zovirax 10mg/kg/dose, every 8 hours; Colace 100mg, administer by mouth once daily; inkay 10mg IM monthly",inkay
slurpuff 10mg PO daily; Tums 500mg PO TID; Reyataz 400mg PO daily; Levophed 25mcg/hr IV; Colace 100mg PO daily; Tyzavan 500mg PO q6h,slurpuff
Tums 500mg PO TID; binacle 10mg SQ daily; Pradaxa 150mg PO BID; Levophed 25mcg/hr IV; Colace 100mg PO daily; Tyzavan 500mg PO q6h,binacle
Tums 500mg PO TID; Levaquin 750mg PO daily; barbaracle 15mg PO daily; Levophed 25mcg/hr IV; Colace 100mg PO daily; Tyzavan 500mg PO q6h,barbaracle
"Tegretol 100mg, adminsiter by mouth 3 times daily; Adrenalin 0.07 mcg/kg/minute IV as a continuous infusion; Lacteted ringers 1000 ml, administer IV once; Diflucan 400mg, administer IV once daily; skrelp 10mg IV once",skrelp
"Tegretol 100mg, adminsiter by mouth 3 times daily; dragalge 10mg PO q8h; Prevymis 480mg, adminsiter by mouth once daily; Adrenalin 0.07 mcg/kg/minute IV as a continuous infusion; Lacteted ringers 1000 ml, administer IV once",dragalge
Tegretol 200mg PO BID; Eskalith 300mg PO BID; Novolog 5 unit TIDAC; Miralax 17gm PO once; helioptile 10mg IM once,helioptile
Tegretol 200mg PO BID; Calan 180mg ER PO daily; Novolog 5 unit TIDAC; heliolisk 1 inhalation qday; Miralax 17gm PO once; Verquvo 2.5mg PO daily,heliolisk
Coreg 6.25mg PO q12h; Fetroja 2000mg IV q8h; Digitek 125mcg PO daily; sylveon 5mg PO daily; Xylocaine 4% cream apply topically to affected area BID,sylveon
Coreg 6.25mg PO q12h; Pepcid 20mg IV q12h; Intuniv 1mg PO QHS; Cortef 20mg PO qam; hawlucka 75mg IV q8h; Cortef 10mg PO QHS,hawlucka
Omnicef 300mg PO BID; Diprivan 20mcg/kg/min; FeroSul 325mg PO every other day; Pradaxa 150mg PO BID; dedenne 1mcg PO daily,dedenne
Fetroja 2000mg IV q8h; Jantoven 5mg PO qhs; Diprivan 20mcg/kg/min; Levophed 5mcg/min; klefki 75mg IV once,klefki
"Rocephin 2g, administer IV once daily; Zithromax 500mg, administer IV once daily; heparin 5000 units, administer SC 3 times daily; mimikyu 10mg SQ weekly; calcium chloride 1g, administer IV over 20 minutes",mimikyu
"Rocephin 2g, administer IV once daily; bruxish 10mg IM weekly; Lovenox 40 mg, administer SQ daily; Adrenalin 0.07 mcg/kg/minute IV as a continuous infusion; Lacteted ringers 1000 ml, administer IV once",bruxish
Thorazine 50mg PO q12h; drampa 1mg PO daily; Maxipime 2000mg IV q8h; Celexa 20mg PO daily; Pepcid 20mg IV q12h; Tyzavan 750mg IV q8h,drampa
salanditt 1mg IV once; Thorazine 25mg IM once; Ketalar 0.2mg/kg/hr IV; Xarelto 20mg PO daily; Azactam 2000mg IV q8h; Bactrim 800/160 1 tab PO q12h,salanditt
Thorazine 25mg IM once; Levaquin 750mg PO daily; Xarelto 20mg PO daily; Azactam 2000mg IV q8h; bewear 10mg po bid,bewear
Eskalith 300mg PO BID; tsareena 1mg IM once; Thorazine 25mg IM q6h prn agitation; Tylenol 325mg PO q6h; Azactam 2000mg IV q6h,tsareena
"Thorazine 10mg; administer IV every 6 hours as needed for nausea; oranguru 15mg PO qhs; Decadron 6 mg, administer IV once daily; Methadone 70mg; administer by mouth daily",oranguru
Thorazine 25mg IM once; Prostigmin 0.05mg/kg IV once; passimian 10mg PO TIDAC; Xarelto 20mg PO daily; Azactam 2000mg IV q8h,passimian
Rocephin 2 g administered IV every 12 hours; wimpod 1mg PO PRN agitation; Principen 2 g IV every 4 hours; Cipro 400 mg IV every 12 hours; Clozaril 50 mg by mouth three times daily,wimpod
"Cipro 750 mg, administer by mouth every 12 hours; golisopod 10mg IM once; Nexium 40 mg IV administered once daily; Dilaudid 1mg, adminsiter IV every 6 hours as needed for pain; Theo-24 100mg, adminiter by mouth 3 times daily",golisopod
Nimbex IV 2mcg/kg/minute; Xarelto 20mg PO QHS; sandgast 1mg SQ monthly; Prostigmin 0.05mg/kg IV once; Trexall 20mg PO once weekly; Colace 100mg PO BID,sandygast
Prozac 40mg PO daily; Levophed IV 0.05mcg/kg/min; pallosand 1mcg/kg/hr IV; Celexa 20mg PO daily; Miralax 17gm PO once,palossand
"Clozaril 25 mg, Take 1 tablet by mouth daily; pyukumuku 1mcg po PRN nausea; Senokot 8.6 mg, take 1 tablet by mouth as needed for constipation; Miralax 17g, Dissolve 17g in 120 ml of liquid once daily as needed for constipation; Rocephin 2g, administer IV once daily; Cordarone 0.5mg/min IV as a continuous infusion",pyukumuku
"Clozaril 25 mg, Take 1 tablet by mouth daily; Minior 5mg IM daily; Rocephin 2g, administer IV once daily; thiamine 100mg, administer IV once daily, Marinol 5mg, administer by mouth twice daily",minior
"Clozaril 25 mg, Take 1 tablet by mouth daily; toxitricity 10mg IM daily; Milrinone 10 mcg/minute IV as a continuous infusion; Ancobon 1750mg, administer IV four times daily; Lovenox 40 mg, administer SQ daily",toxitricity
"Barraskewda 1mg PO daily; Tybost 150mg, administer by mouth once daily; everolimus 0.75mg, administer by mouth twice daily; Dobutrex 5 mcg/kg/minute, administer IV as a continuous infusion; Pepcid 20 mg, administer IV twice daily",barraskewda
"Tybost 150mg, administer by mouth once daily; cursola 1mcg po TID; Luminal 260 mg, administer IV once; Milrinone 0.25 mcg/kg/minute, administer IV as a continuous infusion; Mycamine 100mg, administer IV once daily;",cursola
"Tybost 150mg, administer by mouth once daily; morgrem 1000mg IV q12h; Dilantin 400mg , administer IV over 10 min; heparin 5000 units, administer SC 3 times daily; calcium chloride 1g, administer IV over 20 minutes",morgrem
"Tybost 150mg, administer by mouth once daily; Diprivan 100 mg, administered IV once; Xarelto 20mg, administer by mouth once daily; Levophed 0.13 mcg/kg/minute IV as a continuous infusion; impidimp 5mg PO q8h",impidimp
"Tybost 150mg, administer by mouth once daily; Brilinta 90mg, administer by mouth twice daily; Adrenalin 0.07 mcg/kg/minute IV as a continuous infusion; Lacteted ringers 1000 ml, administer IV once; hatenna 5% 1 application topically BID PRN itching",hatenna
