drug list,pokemon list,Pokemon
Vancomycin 15 mg/kg/dose IV every 12 hours; Rifampin 600 mg IV once daily; Insulin Glargine (100-U) 10 Units SQ once daily; Acetaminophen 1 g IV every 6 hours; Heparin 5000 units SQ every 8 hours.,Vancomycin 15 mg/kg/dose IV every 12 hours; Rifampin 600 mg IV once daily; Insulin Glargine (100-U) 10 Units SQ once daily; Acetaminophen 1 g IV every 6 hours; Feraligatr 400mg IV q12h; Heparin 5000 units SQ every 8 hours.,Feraligatr
"chlorothiazide 250mg, administer IV once; enoxaparin 40mg; adminster SC daily; allopurinol 100mg, administer by mouth once daily; Ondansetron 4 mg administered IV every 4 hours as needed for nausea;","chlorothiazide 250mg, administer IV once; enoxaparin 40mg adminster SC daily; ariados 1mg PO daily; allopurinol 100mg administer by mouth once daily; Ondansetron 4 mg administered IV every 4 hours as needed for nausea;",ariados
Alprazolam 1mg PO BID; fentanyl 25mcg/hr IV; aspirin 325mg PO daily; ferrous sulfate 325mg PO every other day,"Simisage 0.5mg po daily, Alprazolam 1mg PO BID; fentanyl 25mcg/hr IV; aspirin 325mg PO daily; ferrous sulfate 325mg PO every other day",simisage
"Olanzapine 5 mg IM as needed; Albumin 1 g/kg, adminsiter IV once; rifaximin 550mg, 1 tablet by mouth twice daily; amitryptyline 25mg, administer by mouth once daily","Olanzapine 5 mg IM as needed; shellos 3mg IM once; Albumin 1 g/kg, adminsiter IV once; rifaximin 550mg, 1 tablet by mouth twice daily; amitryptyline 25mg, administer by mouth once daily",shellos
"Ceftriaxone 2g, administer IV once daily; thiamine 100mg, administer IV once daily, dronabinol 5mg, administer by mouth twice daily; amphotericin B liposomal 5 mg/kg, administered IV once daily","Ceftriaxone 2g, administer IV once daily; thiamine 100mg, administer IV once daily, dronabinol 5mg, administer by mouth twice daily; malamar 5mg PO QHS; amphotericin B liposomal 5 mg/kg, administered IV once daily",malamar
Andexanet alfa 400mg IV once; heparin 15units/kg/hr IV; vancomycin 500mg PO q6h; aztreonam 2000mg IV q8h; sulfamethoxazole/trimethoprim 800/160 1 tab PO q12h,Andexanet alfa 400mg IV once; heparin 15units/kg/hr IV; vancomycin 500mg PO q6h; sunkern 10mg IV once; aztreonam 2000mg IV q8h; sulfamethoxazole/trimethoprim 800/160 1 tab PO q12h,sunkern
Apixaban 5mg PO BID; propofol 20mcg/kg/min; metoprolol tartrate 25mg PO q6h; aspirin 81mg PO daily; cefepime 2000mg IV q8h,Apixaban 5mg PO BID; propofol 20mcg/kg/min; metoprolol tartrate 25mg PO q6h; aspirin 81mg PO daily; cefepime 2000mg IV q8h; buneary 10mg PO qpm,buneary
Tenecteplase 22.5 mg administered as IV bolus; Labetalol 20 mg IV given over 1 minute; Aspirin 325 mg by mouth once daily; Atorvastatin 40 mg by mouth once daily; Lorazepam 0.5 mg every 4 to 6 hours as needed for anxiety.,Tenecteplase 22.5 mg administered as IV bolus; Labetalol 20 mg IV given over 1 minute; ambipom 5mg IV once; Aspirin 325 mg by mouth once daily; Atorvastatin 40 mg by mouth once daily; Lorazepam 0.5 mg every 4 to 6 hours as needed for anxiety.,ambipom
cefdinir 300mg PO BID; atazanavir 400mg PO daily; polyethylene glycol 17gm PO daily; lidocaine 5% patch apply topically to affected area once daily; amiodarone 400mg PO TID,cefdinir 300mg PO BID; atazanavir 400mg PO daily; lurantis 3mg PO daily; polyethylene glycol 17gm PO daily; lidocaine 5% patch apply topically to affected area once daily; amiodarone 400mg PO TID,lurantis
docusate 100mg PO BID; atazanavir 400mg PO daily; famotidine 20mg IV q12h; cefdinir 300mg PO BID; theophylline 300mg PO BID,sizlipede 1gm PO BID; docusate 100mg PO BID; atazanavir 400mg PO daily; famotidine 20mg IV q12h; cefdinir 300mg PO BID; theophylline 300mg PO BID,sizzlipede
Rifabutin 300mg PO daily; cefdinir 300mg PO BID; atazanavir 400mg PO daily; polyethylene glycol 17gm PO daily; lidocaine 5% patch apply topically to affected area once daily,"Rifabutin 300mg PO daily; cefdinir 300mg PO BID; loudred 1000mg IV once, atazanavir 400mg PO daily; polyethylene glycol 17gm PO daily; lidocaine 5% patch apply topically to affected area once daily",loudred
